"date","time","longitude","latitude"
"2008-11-25","12:26:23",-77.265128,-11.776407
"2008-11-25","12:26:24",-77.265045,-11.776398
"2008-11-25","12:26:25",-77.265032,-11.776407
"2008-11-25","12:26:26",-77.265015,-11.776413
"2008-11-25","12:26:27",-77.265,-11.776418
"2008-11-25","12:26:28",-77.264957,-11.77569
"2008-11-25","12:26:29",-77.264948,-11.775527
"2008-11-25","12:26:30",-77.264937,-11.775467
"2008-11-25","12:26:31",-77.264915,-11.77543
"2008-11-25","12:26:32",-77.264913,-11.775407
"2008-11-25","12:26:33",-77.264902,-11.775272
"2008-11-25","12:26:34",-77.264902,-11.775247
"2008-11-25","12:26:35",-77.264902,-11.775247
"2008-11-25","12:26:36",-77.264907,-11.775252
"2008-11-25","12:26:37",-77.264913,-11.775258
"2008-11-25","12:26:38",-77.264913,-11.775252
"2008-11-25","12:26:39",-77.264935,-11.775253
"2008-11-25","12:26:40",-77.264975,-11.775257
"2008-11-25","12:26:41",-77.265062,-11.775253
"2008-11-25","12:26:42",-77.265217,-11.77519
"2008-11-25","12:26:43",-77.265348,-11.775158
"2008-11-25","12:26:44",-77.265457,-11.775138
"2008-11-25","12:26:45",-77.265578,-11.775162
"2008-11-25","12:26:46",-77.265702,-11.775183
"2008-11-25","12:26:47",-77.265815,-11.775167
"2008-11-25","12:26:48",-77.265918,-11.775147
"2008-11-25","12:26:49",-77.266018,-11.775115
"2008-11-25","12:26:50",-77.26611,-11.775085
"2008-11-25","12:26:51",-77.266207,-11.775062
"2008-11-25","12:26:52",-77.266295,-11.775038
"2008-11-25","12:26:53",-77.266385,-11.774998
"2008-11-25","12:26:54",-77.266482,-11.77497
"2008-11-25","12:26:55",-77.266585,-11.774938
"2008-11-25","12:26:56",-77.266682,-11.774942
"2008-11-25","12:26:57",-77.266782,-11.774957
"2008-11-25","12:26:58",-77.266882,-11.774985
"2008-11-25","12:26:59",-77.266978,-11.775027
"2008-11-25","12:27:00",-77.267067,-11.77509
"2008-11-25","12:27:01",-77.267147,-11.775162
"2008-11-25","12:27:02",-77.267212,-11.775252
"2008-11-25","12:27:03",-77.267272,-11.77534
"2008-11-25","12:27:04",-77.267305,-11.775425
"2008-11-25","12:27:05",-77.267305,-11.775515
"2008-11-25","12:27:06",-77.26728,-11.775593
"2008-11-25","12:27:07",-77.267245,-11.775645
"2008-11-25","12:27:08",-77.267187,-11.775705
"2008-11-25","12:27:09",-77.267135,-11.775763
"2008-11-25","12:27:10",-77.267075,-11.775845
"2008-11-25","12:27:11",-77.267065,-11.775915
"2008-11-25","12:27:12",-77.267088,-11.775982
"2008-11-25","12:27:13",-77.267157,-11.776055
"2008-11-25","12:27:14",-77.267252,-11.776107
"2008-11-25","12:27:15",-77.267342,-11.776138
"2008-11-25","12:27:16",-77.267467,-11.776098
"2008-11-25","12:27:17",-77.2676,-11.776037
"2008-11-25","12:27:18",-77.267715,-11.775978
"2008-11-25","12:27:19",-77.267848,-11.775888
"2008-11-25","12:27:20",-77.267982,-11.77583
"2008-11-25","12:27:21",-77.268118,-11.775807
"2008-11-25","12:27:22",-77.26827,-11.775765
"2008-11-25","12:27:23",-77.268423,-11.775725
"2008-11-25","12:27:24",-77.268582,-11.77572
"2008-11-25","12:27:25",-77.268723,-11.7757
"2008-11-25","12:27:26",-77.268888,-11.77567
"2008-11-25","12:27:27",-77.269067,-11.775637
"2008-11-25","12:27:28",-77.269247,-11.77559
"2008-11-25","12:27:29",-77.269413,-11.775585
"2008-11-25","12:27:30",-77.269592,-11.77558
"2008-11-25","12:27:31",-77.269777,-11.775568
"2008-11-25","12:27:32",-77.269952,-11.775562
"2008-11-25","12:27:33",-77.270122,-11.775557
"2008-11-25","12:27:34",-77.27029,-11.775552
"2008-11-25","12:27:35",-77.27046,-11.775545
"2008-11-25","12:27:36",-77.270627,-11.77554
"2008-11-25","12:27:37",-77.270778,-11.775547
"2008-11-25","12:27:38",-77.270925,-11.775538
"2008-11-25","12:27:39",-77.271078,-11.775512
"2008-11-25","12:27:40",-77.27124,-11.775465
"2008-11-25","12:27:41",-77.27142,-11.77544
"2008-11-25","12:27:42",-77.271622,-11.775405
"2008-11-25","12:27:43",-77.271793,-11.775373
"2008-11-25","12:27:44",-77.271958,-11.775322
"2008-11-25","12:27:45",-77.272065,-11.775195
"2008-11-25","12:27:46",-77.272177,-11.775122
"2008-11-25","12:27:47",-77.27228,-11.775045
"2008-11-25","12:27:48",-77.272383,-11.774972
"2008-11-25","12:27:49",-77.27248,-11.774897
"2008-11-25","12:27:50",-77.272558,-11.774808
"2008-11-25","12:27:51",-77.27261,-11.774703
"2008-11-25","12:27:52",-77.272642,-11.774585
"2008-11-25","12:27:53",-77.272668,-11.774463
"2008-11-25","12:27:54",-77.272705,-11.774345
"2008-11-25","12:27:55",-77.27276,-11.774232
"2008-11-25","12:27:56",-77.272833,-11.77412
"2008-11-25","12:27:57",-77.272922,-11.774028
"2008-11-25","12:27:58",-77.273025,-11.773953
"2008-11-25","12:27:59",-77.273128,-11.773865
"2008-11-25","12:28:00",-77.273225,-11.773773
"2008-11-25","12:28:01",-77.273305,-11.773673
"2008-11-25","12:28:02",-77.273377,-11.773565
"2008-11-25","12:28:03",-77.273447,-11.773455
"2008-11-25","12:28:04",-77.27352,-11.773348
